book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Computer Science: An Overview,J. Glenn Brookshear,3.76,310,22,599,1985,35,Paperback,English,ISBN0321387015(ISBN13:9780321387011),https://www.goodreads.com/book/show/533070.Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=21
Multiple Choice Questions in Computer Science,Ela Kumar,3.62,66,9,472,2008,1,Paperback,,ISBN819067577X(ISBN13:9788190675772),https://www.goodreads.com/book/show/8266079-multiple-choice-questions-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=22
Cambridge International as and a Level Computer Science Revision Guide,Tony Piper,4.29,41,4,328,,1,Paperback,,ISBN1107547547(ISBN13:9781107547544),https://www.goodreads.com/book/show/28131102-cambridge-international-as-and-a-level-computer-science-revision-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=23
"Algorithms on Strings, Trees and Sequences: Computer Science and Computational Biology",Dan Gusfield,4.09,85,4,556,1997,4,Hardcover,English,ISBN0521585198(ISBN13:9780521585194),https://www.goodreads.com/book/show/145058.Algorithms_on_Strings_Trees_and_Sequences?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=24
Coding the Matrix: Linear Algebra through Computer Science Applications,Philip N. Klein,4.23,115,5,528,2013,2,Paperback,English,ISBN061585673X(ISBN13:9780615856735),https://www.goodreads.com/book/show/18245828-coding-the-matrix?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=25
Computer Science with Python: Textbook for CBSE Class 12 (2020-21),Preeti Arora,4.26,80,6,496,,2,Paperback,,ISBN9389174430(ISBN13:9789389174434),https://www.goodreads.com/book/show/50712172-computer-science-with-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=26
Understanding I.S.C. Computer Science Class - XII,"['V.K. Pandey', 'D.K. Dey']",4.21,52,5,,,1,Paperback,,ISBN8182964512(ISBN13:9788182964518),https://www.goodreads.com/book/show/35278258-understanding-i-s-c-computer-science-class---xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=27
"Theory of Computer Science: Automata, Languages and Computation, 3/E","['K.L.P. Mishra', 'N. Chandrasekaran']",4.0,64,1,436,2013,1,Kindle Edition,English,,https://www.goodreads.com/book/show/21353631-theory-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=28
Foundations of Computer Science,Behrouz A. Forouzan,3.96,108,6,624,2002,3,Paperback,English,ISBN1844807002(ISBN13:9781844807000),https://www.goodreads.com/book/show/1060918.Foundations_of_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=29
Computer Science: A Structured Programming Approach Using C,"['Behrouz A. Forouzan', 'Richard F. Gilberg']",3.89,93,6,832,2000,6,Paperback,English,ISBN0534374824(ISBN13:9780534374822),https://www.goodreads.com/book/show/122066.Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=30
